Tempat Wisata, Garis Lintang, Garis Bujur
Mall Senayan City, -6.2253494, 106.7957125
Taman Margasatwa Ragunan, -6.296472, 106.8137632
Universitas Pancasila, -6.3448748, 106.8144776
Depok Town Square, -6.3668419, 106.815817
Pondok Nurul Fikri, -6.361934, 106.8441279
